vendor_id,segment,is_mature_ap_program,mcc,avg_ticket,max_ticket,monthly_txn_count,annual_spend,tenure_months,is_new_to_platform,current_rail,accepts_card_other_channel,days_sales_outstanding,past_data_quality_score,risk_level,vc_accept
V000000,smb,False,8911,5378.66,30483.56,7,335143.21,107,False,virtual_card,0,40,0.972,low,0
V000001,smb,False,8911,1280.79,4913.59,28,448094.18,60,False,ach,1,43,1.0,medium,1
V000002,smb,False,5085,2217.59,9832.03,7,150146.19,102,False,virtual_card,0,44,0.704,low,1
V000003,mid_market,False,7392,12553.11,26459.05,8,3046871.91,145,False,check,1,58,0.066,medium,1
V000004,mid_market,False,5085,1020.63,2802.07,10,290709.21,136,False,ach,1,43,0.704,high,1
V000005,smb,False,5169,6830.11,12579.03,16,1324028.76,67,False,check,1,41,0.056,low,1
V000006,enterprise,False,5065,5331.66,15716.92,28,23913313.97,64,False,wire,0,60,,low,1
V000007,smb,False,8911,7095.04,54913.29,4,340543.29,113,False,ach,1,46,0.616,medium,1
V000008,smb,False,4214,19502.45,96939.89,21,2452794.58,24,False,ach,0,45,0.434,low,0
V000009,mid_market,False,5199,3232.98,15427.02,7,825505.81,171,False,virtual_card,0,43,,low,1
V000010,mid_market,False,5169,813.27,2245.66,12,185242.76,50,False,ach,1,39,,medium,0
V000011,mid_market,False,5199,371.4,1770.02,12,212166.3,149,False,ach,1,43,0.705,low,0
V000012,mid_market,False,5065,5465.19,16782.24,20,3510240.1,137,False,virtual_card,1,64,0.061,medium,0
V000013,mid_market,False,4214,1954.29,8024.98,11,769248.64,74,False,other,0,62,0.993,low,1
V000014,smb,False,7372,843.3,6652.47,38,198701.31,68,False,ach,1,39,0.754,low,0
V000015,smb,False,5065,1090.28,2656.69,10,151765.4,95,False,other,0,51,0.757,low,0
V000016,smb,False,5199,53.45,347.28,39,12812.31,124,False,ach,0,39,0.326,low,1
V000017,smb,False,7392,14847.16,93728.04,12,2253654.42,162,False,check,0,47,0.647,medium,0
V000018,smb,False,5085,468.91,712.5,11,63592.27,144,False,check,0,67,0.882,low,0
V000019,smb,False,5172,7198.08,32428.69,19,930561.37,111,False,ach,1,41,0.941,medium,1
V000020,mid_market,False,7372,9990.54,57975.26,6,1633221.42,4,True,ach,1,53,0.699,medium,1
V000021,enterprise,False,7392,4239.69,14075.83,19,16502328.91,41,False,ach,1,53,0.779,low,1
V000022,smb,False,5122,4309.59,32790.78,12,343045.48,150,False,check,1,51,0.749,low,1
V000023,enterprise,True,5169,15410.22,110913.33,10,16032964.09,90,False,virtual_card,0,73,0.836,high,0
V000024,enterprise,False,5122,10052.85,30682.52,6,10092038.25,116,False,ach,1,33,0.565,low,1
V000025,smb,False,5111,245.56,1017.46,18,45596.79,141,False,wire,1,42,0.345,low,0
V000026,mid_market,False,5199,199.66,1493.53,7,46384.87,12,False,wire,0,41,0.49,low,1
V000027,smb,False,5734,14907.34,118096.81,12,2491714.71,157,False,check,1,53,0.499,low,0
V000028,smb,False,5137,838.67,2663.44,22,122974.59,63,False,ach,1,40,0.804,medium,0
V000029,smb,False,5734,807.48,2428.05,22,246865.96,143,False,other,1,56,0.363,medium,1
V000030,mid_market,False,7399,627.57,2569.08,12,277759.85,43,False,wire,1,66,0.43,low,1
V000031,mid_market,False,5169,3654.6,6139.77,4,533480.75,163,False,check,1,62,0.464,low,1
V000032,enterprise,False,5211,2941.07,5836.0,11,2891004.36,147,False,ach,0,57,,medium,1
V000033,enterprise,False,5169,1201.07,7415.95,2,267602.46,157,False,wire,1,42,0.671,low,1
V000034,smb,False,5172,8737.65,19402.98,1,86094.64,30,False,check,1,36,0.946,low,1
