vendor_id,rail,rate_bps,settlement,fee_cap,p_accept,e_ltv
V000000,virtual_card,280,next_day,capped,0.737,59606.95
V000001,virtual_card,220,next_day,capped,0.406,27981.53
V000002,virtual_card,280,same_day,capped,0.89,1175348.25
V000003,ach_flat,0,next_day,n/a,0.97,18957.57
V000004,virtual_card,150,next_day,capped,0.511,619020.38
V000005,virtual_card,80,next_day,none,0.458,26642.42
V000006,virtual_card,220,same_day,none,0.548,91656.37
V000007,virtual_card,80,next_day,none,0.495,501601.69
V000008,virtual_card,280,next_day,none,0.691,349954.69
V000009,virtual_card,280,next_day,none,0.727,378847.91
V000010,virtual_card,280,next_day,capped,0.826,60994.48
V000011,virtual_card,220,next_day,none,0.465,26109.73
V000012,ach_flat,0,next_day,n/a,0.97,8079.3
V000013,virtual_card,150,next_day,capped,0.465,63284.37
V000014,ach_flat,0,next_day,n/a,0.97,43212.39
V000015,virtual_card,280,same_day,none,0.629,558850.5
V000016,virtual_card,220,next_day,capped,0.662,6883404.0
V000017,virtual_card,150,same_day,none,0.469,14272.23
V000018,virtual_card,280,same_day,none,0.554,147327.56
V000019,virtual_card,150,next_day,capped,0.414,581115.19
V000020,virtual_card,280,same_day,none,0.767,35950.77
V000021,virtual_card,220,next_day,none,0.422,138821.06
V000022,virtual_card,220,next_day,none,0.571,396980.5
V000023,virtual_card,280,next_day,capped,0.84,96424.14
V000024,virtual_card,220,same_day,none,0.411,14233.95
V000025,virtual_card,150,next_day,none,0.449,1064.6
V000026,virtual_card,280,next_day,none,0.592,34359.32
V000027,virtual_card,280,next_day,capped,0.846,882497.19
V000028,virtual_card,150,next_day,none,0.61,740750.56
V000029,virtual_card,280,same_day,none,0.574,25563.09
V000030,ach_flat,0,next_day,n/a,0.97,16272.51
V000031,virtual_card,80,same_day,capped,0.425,249067.81
V000032,virtual_card,80,next_day,none,0.523,136210.05
V000033,ach_flat,0,next_day,n/a,0.97,15468.01
V000034,virtual_card,150,same_day,none,0.493,101487.55
V000035,virtual_card,220,same_day,none,0.509,74048.53
V000036,ach_flat,0,next_day,n/a,0.97,2136.68
V000037,ach_flat,0,next_day,n/a,0.97,10303.72
V000038,virtual_card,220,same_day,none,0.513,22513.64
V000039,virtual_card,220,same_day,none,0.533,6754.14
V000040,virtual_card,280,same_day,none,0.662,44354.05
V000041,ach_flat,0,next_day,n/a,0.97,4791.73
