mcc,industry,avg_invoice_size,monthly_txn_count,annual_payment_volume,supplier_margin_profile,payment_speed_preference,card_acceptance_history,reconciliation_complexity,geography,currency,servicing_cost,vendor_id,offer_rate_bps,offer_settlement,offer_fee_cap,accepted
5111,office_supplies,980.24,23,1115783.85,healthy,standard,accepted,low,cross_border,GBP,low,V000000,80,next_day,capped,1
5111,office_supplies,980.24,23,1115783.85,healthy,standard,accepted,low,cross_border,GBP,low,V000000,280,same_day,capped,0
5211,construction,509.88,14,784235.88,moderate,standard,never_offered,high,cross_border,EUR,low,V000001,150,next_day,none,0
5211,construction,509.88,14,784235.88,moderate,standard,never_offered,high,cross_border,EUR,low,V000001,80,next_day,none,0
8911,engineering,10068.64,13,18830038.27,healthy,fast,accepted,low,domestic,USD,low,V000002,80,next_day,capped,1
8911,engineering,10068.64,13,18830038.27,healthy,fast,accepted,low,domestic,USD,low,V000002,80,next_day,capped,1
5137,office_supplies,673.39,9,867217.41,thin,fast,rejected,low,domestic,USD,medium,V000003,220,next_day,none,0
5137,office_supplies,673.39,9,867217.41,thin,fast,rejected,low,domestic,USD,medium,V000003,150,same_day,none,0
8911,engineering,11592.14,10,32765851.7,thin,standard,never_offered,low,domestic,USD,low,V000004,80,next_day,capped,1
8911,engineering,11592.14,10,32765851.7,thin,standard,never_offered,low,domestic,USD,low,V000004,150,same_day,none,1
5734,software,2415.58,6,2754953.53,thin,standard,rejected,medium,cross_border,GBP,low,V000005,280,next_day,capped,0
5734,software,2415.58,6,2754953.53,thin,standard,rejected,medium,cross_border,GBP,low,V000005,80,next_day,capped,1
5065,industrial,4120.95,47,3362335.75,thin,fast,accepted,medium,domestic,USD,medium,V000006,150,same_day,none,1
5065,industrial,4120.95,47,3362335.75,thin,fast,accepted,medium,domestic,USD,medium,V000006,280,same_day,capped,0
8911,engineering,12718.5,25,65790311.74,thin,standard,rejected,low,cross_border,GBP,medium,V000007,80,next_day,none,1
8911,engineering,12718.5,25,65790311.74,thin,standard,rejected,low,cross_border,GBP,medium,V000007,150,same_day,capped,0
5065,industrial,2337.03,32,6834064.86,healthy,standard,never_offered,medium,domestic,USD,medium,V000008,80,next_day,capped,1
5065,industrial,2337.03,32,6834064.86,healthy,standard,never_offered,medium,domestic,USD,medium,V000008,150,next_day,capped,0
7392,professional_services,5828.01,13,7109905.47,moderate,standard,accepted,medium,domestic,USD,low,V000009,80,next_day,capped,1
7392,professional_services,5828.01,13,7109905.47,moderate,standard,accepted,medium,domestic,USD,low,V000009,220,next_day,capped,1
5122,pharma,1047.54,24,951356.24,healthy,standard,accepted,low,domestic,USD,low,V000010,220,next_day,capped,1
5122,pharma,1047.54,24,951356.24,healthy,standard,accepted,low,domestic,USD,low,V000010,80,next_day,capped,1
5199,industrial,445.91,10,629535.46,healthy,standard,rejected,high,domestic,USD,low,V000011,150,next_day,none,0
5199,industrial,445.91,10,629535.46,healthy,standard,rejected,high,domestic,USD,low,V000011,280,same_day,none,1
5199,industrial,145.98,5,82131.3,moderate,standard,accepted,low,domestic,USD,low,V000012,220,same_day,capped,0
5199,industrial,145.98,5,82131.3,moderate,standard,accepted,low,domestic,USD,low,V000012,80,next_day,capped,0
4214,freight_logistics,3817.45,20,3905376.68,moderate,standard,never_offered,medium,cross_border,other,low,V000013,80,same_day,none,1
4214,freight_logistics,3817.45,20,3905376.68,moderate,standard,never_offered,medium,cross_border,other,low,V000013,150,same_day,none,0
5111,office_supplies,494.1,10,1435274.54,thin,standard,never_offered,low,cross_border,EUR,low,V000014,150,next_day,none,1
5111,office_supplies,494.1,10,1435274.54,thin,standard,never_offered,low,cross_border,EUR,low,V000014,150,next_day,capped,1
5211,construction,3726.83,15,13478619.54,moderate,fast,accepted,low,domestic,USD,low,V000015,220,next_day,none,0
5211,construction,3726.83,15,13478619.54,moderate,fast,accepted,low,domestic,USD,low,V000015,150,next_day,none,1
8911,engineering,10688.87,73,185020134.27,thin,standard,never_offered,medium,domestic,USD,low,V000016,220,same_day,capped,1
8911,engineering,10688.87,73,185020134.27,thin,standard,never_offered,medium,domestic,USD,low,V000016,220,next_day,none,1
5211,construction,2568.25,19,1021584.51,moderate,fast,rejected,medium,cross_border,EUR,medium,V000017,80,same_day,capped,1
5211,construction,2568.25,19,1021584.51,moderate,fast,rejected,medium,cross_border,EUR,medium,V000017,280,next_day,none,1
7399,professional_services,589.13,24,3248203.81,thin,fast,accepted,low,domestic,USD,medium,V000018,150,same_day,none,1
7399,professional_services,589.13,24,3248203.81,thin,fast,accepted,low,domestic,USD,medium,V000018,150,next_day,none,1
7399,professional_services,8171.06,26,37825551.32,thin,standard,never_offered,low,domestic,USD,low,V000019,80,next_day,none,0
7399,professional_services,8171.06,26,37825551.32,thin,standard,never_offered,low,domestic,USD,low,V000019,220,same_day,none,1
7399,professional_services,1639.41,7,678639.16,healthy,fast,never_offered,high,domestic,USD,low,V000020,220,same_day,capped,1
7399,professional_services,1639.41,7,678639.16,healthy,fast,never_offered,high,domestic,USD,low,V000020,80,next_day,none,1
5169,chemicals,3239.01,7,5784006.29,moderate,standard,never_offered,high,domestic,USD,medium,V000021,220,same_day,capped,1
5169,chemicals,3239.01,7,5784006.29,moderate,standard,never_offered,high,domestic,USD,medium,V000021,280,same_day,capped,0
5122,pharma,10466.88,20,12722600.96,moderate,standard,never_offered,medium,domestic,USD,medium,V000022,80,same_day,capped,1
5122,pharma,10466.88,20,12722600.96,moderate,standard,never_offered,medium,domestic,USD,medium,V000022,220,next_day,capped,1
5122,pharma,463.24,17,1424321.37,healthy,standard,accepted,high,domestic,USD,medium,V000023,280,next_day,none,1
5122,pharma,463.24,17,1424321.37,healthy,standard,accepted,high,domestic,USD,medium,V000023,220,same_day,capped,1
5137,office_supplies,1659.71,7,613026.8,thin,standard,never_offered,low,domestic,USD,low,V000024,280,same_day,capped,0
5137,office_supplies,1659.71,7,613026.8,thin,standard,never_offered,low,domestic,USD,low,V000024,150,same_day,none,1
7399,professional_services,711.06,1,50834.5,thin,standard,accepted,medium,domestic,USD,low,V000025,220,same_day,none,0
7399,professional_services,711.06,1,50834.5,thin,standard,accepted,medium,domestic,USD,low,V000025,220,next_day,none,0
5122,pharma,2195.69,5,866689.99,moderate,standard,accepted,low,cross_border,other,medium,V000026,80,same_day,none,1
5122,pharma,2195.69,5,866689.99,moderate,standard,accepted,low,cross_border,other,medium,V000026,80,same_day,none,1
7372,it_services,5215.84,13,13765363.07,healthy,fast,accepted,high,domestic,USD,high,V000027,80,same_day,capped,1
7372,it_services,5215.84,13,13765363.07,healthy,fast,accepted,high,domestic,USD,high,V000027,280,next_day,none,1
5172,fuel_energy,12978.47,18,32190897.07,moderate,standard,never_offered,medium,domestic,USD,high,V000028,280,next_day,capped,1
5172,fuel_energy,12978.47,18,32190897.07,moderate,standard,never_offered,medium,domestic,USD,high,V000028,220,next_day,capped,0
4214,freight_logistics,1397.86,7,741311.11,thin,fast,accepted,high,cross_border,GBP,high,V000029,220,next_day,none,1
4214,freight_logistics,1397.86,7,741311.11,thin,fast,accepted,high,cross_border,GBP,high,V000029,220,next_day,none,1
5111,office_supplies,91.87,5,101868.6,moderate,standard,accepted,low,domestic,USD,low,V000030,220,same_day,none,1
5111,office_supplies,91.87,5,101868.6,moderate,standard,accepted,low,domestic,USD,low,V000030,280,next_day,capped,1
5169,chemicals,8559.78,16,38926225.19,thin,standard,never_offered,low,domestic,USD,low,V000031,150,next_day,capped,0
5169,chemicals,8559.78,16,38926225.19,thin,standard,never_offered,low,domestic,USD,low,V000031,220,next_day,none,1
5172,fuel_energy,3217.94,16,11153972.22,thin,standard,accepted,low,domestic,USD,low,V000032,150,next_day,capped,0
5172,fuel_energy,3217.94,16,11153972.22,thin,standard,accepted,low,domestic,USD,low,V000032,150,next_day,none,1
5111,office_supplies,107.72,5,113666.2,thin,fast,never_offered,low,domestic,USD,low,V000033,150,same_day,capped,1
5111,office_supplies,107.72,5,113666.2,thin,fast,never_offered,low,domestic,USD,low,V000033,150,same_day,none,1
5122,pharma,1678.02,15,5340923.73,thin,fast,never_offered,low,domestic,USD,medium,V000034,280,next_day,none,0
5122,pharma,1678.02,15,5340923.73,thin,fast,never_offered,low,domestic,USD,medium,V000034,80,next_day,capped,0
5137,office_supplies,403.5,21,1784822.27,thin,immediate,never_offered,low,domestic,USD,medium,V000035,80,next_day,capped,1
5137,office_supplies,403.5,21,1784822.27,thin,immediate,never_offered,low,domestic,USD,medium,V000035,80,same_day,capped,1
5137,office_supplies,610.22,2,101568.34,thin,standard,accepted,low,domestic,USD,high,V000036,280,next_day,capped,0
5137,office_supplies,610.22,2,101568.34,thin,standard,accepted,low,domestic,USD,high,V000036,150,same_day,capped,1
5172,fuel_energy,6285.57,10,4468502.16,moderate,immediate,rejected,low,cross_border,GBP,low,V000037,80,next_day,none,0
5172,fuel_energy,6285.57,10,4468502.16,moderate,immediate,rejected,low,cross_border,GBP,low,V000037,280,same_day,capped,0
5734,software,488.14,7,588034.11,thin,fast,never_offered,low,domestic,USD,low,V000038,220,same_day,capped,1
5734,software,488.14,7,588034.11,thin,fast,never_offered,low,domestic,USD,low,V000038,80,same_day,none,1
7399,professional_services,1107.05,7,226013.52,thin,standard,accepted,low,domestic,USD,low,V000039,280,next_day,capped,0
7399,professional_services,1107.05,7,226013.52,thin,standard,accepted,low,domestic,USD,low,V000039,220,next_day,none,0
7399,professional_services,511.17,20,894914.22,moderate,fast,never_offered,high,domestic,USD,high,V000040,220,next_day,capped,1
7399,professional_services,511.17,20,894914.22,moderate,fast,never_offered,high,domestic,USD,high,V000040,220,same_day,none,1
5169,chemicals,7441.2,5,2555670.05,moderate,fast,rejected,low,domestic,USD,low,V000041,280,next_day,capped,0
5169,chemicals,7441.2,5,2555670.05,moderate,fast,rejected,low,domestic,USD,low,V000041,280,next_day,capped,0
5199,industrial,2297.99,23,9427945.29,moderate,fast,never_offered,low,domestic,USD,low,V000042,220,next_day,none,1
5199,industrial,2297.99,23,9427945.29,moderate,fast,never_offered,low,domestic,USD,low,V000042,220,same_day,none,1
5085,industrial,3378.0,1,373784.78,healthy,standard,rejected,medium,domestic,USD,medium,V000043,280,same_day,none,1
5085,industrial,3378.0,1,373784.78,healthy,standard,rejected,medium,domestic,USD,medium,V000043,150,next_day,capped,0
7399,professional_services,711.09,19,2980781.55,moderate,standard,accepted,medium,domestic,USD,low,V000044,80,same_day,none,1
7399,professional_services,711.09,19,2980781.55,moderate,standard,accepted,medium,domestic,USD,low,V000044,80,same_day,capped,1
5199,industrial,866.56,21,3732569.51,healthy,fast,rejected,medium,domestic,USD,low,V000045,150,next_day,capped,0
5199,industrial,866.56,21,3732569.51,healthy,fast,rejected,medium,domestic,USD,low,V000045,280,same_day,none,1
5172,fuel_energy,11270.81,12,1074635.58,thin,immediate,rejected,high,domestic,USD,medium,V000046,280,next_day,none,0
5172,fuel_energy,11270.81,12,1074635.58,thin,immediate,rejected,high,domestic,USD,medium,V000046,220,same_day,capped,0
5065,industrial,2961.64,3,594062.7,thin,fast,accepted,high,domestic,USD,medium,V000047,280,next_day,capped,1
5065,industrial,2961.64,3,594062.7,thin,fast,accepted,high,domestic,USD,medium,V000047,220,same_day,none,1
5111,office_supplies,1167.3,19,936202.5,moderate,standard,accepted,medium,domestic,USD,medium,V000048,150,same_day,capped,1
5111,office_supplies,1167.3,19,936202.5,moderate,standard,accepted,medium,domestic,USD,medium,V000048,220,same_day,capped,0
5172,fuel_energy,4709.06,6,7073153.32,healthy,standard,never_offered,low,domestic,USD,low,V000049,150,next_day,capped,0
5172,fuel_energy,4709.06,6,7073153.32,healthy,standard,never_offered,low,domestic,USD,low,V000049,220,same_day,none,0
5085,industrial,346.11,19,1091630.27,moderate,standard,rejected,medium,domestic,USD,low,V000050,280,next_day,capped,1
5085,industrial,346.11,19,1091630.27,moderate,standard,rejected,medium,domestic,USD,low,V000050,220,next_day,none,1
5085,industrial,1353.74,20,6285487.05,moderate,immediate,rejected,low,domestic,USD,low,V000051,220,next_day,none,0
5085,industrial,1353.74,20,6285487.05,moderate,immediate,rejected,low,domestic,USD,low,V000051,220,next_day,none,1
5169,chemicals,6838.62,10,17170958.04,thin,standard,never_offered,medium,domestic,USD,medium,V000052,280,next_day,none,0
5169,chemicals,6838.62,10,17170958.04,thin,standard,never_offered,medium,domestic,USD,medium,V000052,280,same_day,none,0
8911,engineering,4488.66,7,2560891.54,moderate,fast,accepted,low,domestic,USD,medium,V000053,280,next_day,none,1
8911,engineering,4488.66,7,2560891.54,moderate,fast,accepted,low,domestic,USD,medium,V000053,280,next_day,none,1
5169,chemicals,54.49,41,100530.96,thin,immediate,rejected,medium,domestic,USD,medium,V000054,150,next_day,capped,1
5169,chemicals,54.49,41,100530.96,thin,immediate,rejected,medium,domestic,USD,medium,V000054,80,next_day,none,1
5111,office_supplies,764.49,7,581078.02,moderate,immediate,accepted,medium,domestic,USD,low,V000055,220,same_day,capped,1
5111,office_supplies,764.49,7,581078.02,moderate,immediate,accepted,medium,domestic,USD,low,V000055,220,same_day,capped,0
5065,industrial,1373.9,6,981990.65,healthy,standard,accepted,low,cross_border,USD,low,V000056,80,next_day,capped,1
5065,industrial,1373.9,6,981990.65,healthy,standard,accepted,low,cross_border,USD,low,V000056,80,same_day,capped,1
5065,industrial,2366.55,24,4309576.81,healthy,standard,accepted,low,domestic,USD,medium,V000057,280,same_day,capped,1
5065,industrial,2366.55,24,4309576.81,healthy,standard,accepted,low,domestic,USD,medium,V000057,280,same_day,capped,1
5734,software,198.12,11,600286.85,moderate,standard,never_offered,medium,cross_border,other,low,V000058,80,next_day,capped,1
5734,software,198.12,11,600286.85,moderate,standard,never_offered,medium,cross_border,other,low,V000058,220,next_day,none,1
5085,industrial,793.7,12,1846604.74,healthy,immediate,accepted,low,domestic,USD,medium,V000059,80,next_day,capped,1
5085,industrial,793.7,12,1846604.74,healthy,immediate,accepted,low,domestic,USD,medium,V000059,280,next_day,capped,1
5085,industrial,5094.37,11,11023613.63,healthy,fast,rejected,medium,cross_border,GBP,high,V000060,80,next_day,capped,1
5085,industrial,5094.37,11,11023613.63,healthy,fast,rejected,medium,cross_border,GBP,high,V000060,220,next_day,none,0
5111,office_supplies,397.18,8,713966.03,healthy,fast,accepted,medium,domestic,USD,high,V000061,220,next_day,none,1
5111,office_supplies,397.18,8,713966.03,healthy,fast,accepted,medium,domestic,USD,high,V000061,220,same_day,none,1
5734,software,1785.03,17,8069402.11,moderate,standard,accepted,low,domestic,USD,medium,V000062,80,next_day,capped,0
5734,software,1785.03,17,8069402.11,moderate,standard,accepted,low,domestic,USD,medium,V000062,280,next_day,capped,1
5211,construction,12627.35,31,81489371.7,moderate,standard,never_offered,medium,domestic,USD,medium,V000063,280,same_day,none,0
5211,construction,12627.35,31,81489371.7,moderate,standard,never_offered,medium,domestic,USD,medium,V000063,80,next_day,none,0
5065,industrial,757.84,4,698602.16,moderate,fast,accepted,medium,cross_border,EUR,low,V000064,150,next_day,capped,0
5065,industrial,757.84,4,698602.16,moderate,fast,accepted,medium,cross_border,EUR,low,V000064,80,same_day,capped,1
5137,office_supplies,259.64,19,163308.19,moderate,immediate,never_offered,medium,domestic,USD,medium,V000065,80,same_day,capped,1
5137,office_supplies,259.64,19,163308.19,moderate,immediate,never_offered,medium,domestic,USD,medium,V000065,220,same_day,capped,1
5172,fuel_energy,2497.1,11,2599655.85,thin,standard,rejected,low,cross_border,EUR,low,V000066,80,same_day,capped,0
5172,fuel_energy,2497.1,11,2599655.85,thin,standard,rejected,low,cross_border,EUR,low,V000066,280,next_day,none,0
8911,engineering,35154.17,35,144704678.18,moderate,standard,accepted,low,domestic,USD,low,V000067,280,same_day,capped,0
8911,engineering,35154.17,35,144704678.18,moderate,standard,accepted,low,domestic,USD,low,V000067,220,same_day,none,0
5211,construction,1722.31,14,4302459.51,moderate,standard,never_offered,medium,domestic,USD,high,V000068,80,same_day,none,1
5211,construction,1722.31,14,4302459.51,moderate,standard,never_offered,medium,domestic,USD,high,V000068,280,same_day,capped,1
5169,chemicals,1643.45,6,2255977.39,moderate,standard,accepted,low,domestic,USD,low,V000069,80,next_day,capped,0
5169,chemicals,1643.45,6,2255977.39,moderate,standard,accepted,low,domestic,USD,low,V000069,280,same_day,none,0
5111,office_supplies,262.52,14,498021.75,thin,immediate,accepted,medium,domestic,USD,medium,V000070,150,same_day,none,1
5111,office_supplies,262.52,14,498021.75,thin,immediate,accepted,medium,domestic,USD,medium,V000070,220,next_day,capped,1
5172,fuel_energy,9517.81,16,41299379.39,healthy,fast,rejected,high,domestic,USD,low,V000071,280,next_day,none,0
5172,fuel_energy,9517.81,16,41299379.39,healthy,fast,rejected,high,domestic,USD,low,V000071,150,same_day,capped,0
5065,industrial,1510.59,24,666796.25,moderate,standard,never_offered,high,cross_border,EUR,high,V000072,80,next_day,none,1
5065,industrial,1510.59,24,666796.25,moderate,standard,never_offered,high,cross_border,EUR,high,V000072,220,next_day,none,1
