vendor_id,segment,mcc,annual_spend,current_rail,accepts_card_other_channel,p_accept,expected_annual_revenue
V003956,enterprise,8911,463862505.22,ach,1,0.76621044,2843130.3419959373
V005878,enterprise,7392,299951233.14,ach,0,0.9710345,2329904.029941284
V013487,enterprise,7372,324225393.22,check,1,0.79051757,2050246.9561827674
V004650,enterprise,5734,292270420.32,ach,0,0.86488616,2022045.1430052577
V007972,enterprise,8911,259961825.57,ach,0,0.90504277,1882012.560517209
V023851,enterprise,8911,221323821.56,ach,0,0.9122177,1614964.0183076086
V002467,enterprise,7392,192148142.87,ach,1,0.9380169,1441705.629427798
V023840,enterprise,8911,208982814.74,ach,0,0.86180604,1440621.2077036507
V000849,enterprise,7392,170029757.07,ach,0,0.9371559,1274555.1233548734
V018866,enterprise,7372,161852244.98,check,0,0.90668255,1173788.8507881034
V006545,enterprise,8911,162354631.38,ach,1,0.872968,1133643.2062227405
V023408,enterprise,7372,159500344.33,ach,0,0.8615633,1099157.1759052875
V008636,enterprise,8911,140603656.66,ach,0,0.9425634,1060022.9017839476
V010771,enterprise,8911,335533787.59,ach,1,0.38117704,1022982.2022972294
V021357,enterprise,8911,148292016.92,ach,1,0.859233,1019139.1823801531
V024513,enterprise,5211,163749504.53,ach,0,0.77228576,1011491.283722795
V004653,enterprise,7399,123725082.14,ach,1,0.87326306,864156.3516625477
V000788,enterprise,5085,105857501.85,ach,0,0.9262504,784204.4258934596
V000847,enterprise,8911,109378633.01,ach,0,0.89527464,783191.3295721675
V008353,enterprise,4214,123062468.61,check,0,0.77034485,758204.3147244661
V003327,enterprise,8911,113143610.4,check,1,0.82055116,742520.9633649186
V012597,enterprise,7392,114038335.98,check,1,0.8013508,730877.6689487797
V005283,enterprise,4214,124386492.86,ach,1,0.72946995,725689.6747611945
V015086,enterprise,8911,97558294.13,ach,0,0.84385425,658399.8478426115
V014356,enterprise,7372,86376452.89,ach,1,0.92494357,638946.7550587924
V014269,enterprise,4214,91738500.05,ach,1,0.8677686,636662.3075277505
V009844,enterprise,4214,91317239.88,ach,1,0.8632973,630471.4011101499
V012451,enterprise,5122,90556249.74,ach,0,0.8580972,621448.5115859101
V005219,enterprise,8911,98764449.3,ach,1,0.78202146,617687.353006482
V011183,enterprise,5085,89130727.94,ach,0,0.8620991,614516.1706160195
V009600,enterprise,5172,95099495.27,ach,0,0.80693483,613712.7630732977
V009093,enterprise,8911,122002589.33,ach,1,0.62462753,609449.4087754333
V011851,enterprise,7392,89056643.24,ach,1,0.8474285,603553.1012320094
V002591,enterprise,7372,97718815.71,ach,1,0.7489497,585291.8268067939
V000730,enterprise,5734,121612574.05,ach,1,0.5990612,582626.9876875281
V008144,enterprise,8911,81700589.58,ach,0,0.85201395,556680.3334738363
V008479,enterprise,5172,76576066.25,ach,1,0.9009096,551704.9073374361
V009974,enterprise,4214,102110293.14,ach,1,0.6720029,548747.3143288809
V007190,enterprise,5085,82656782.24,ach,0,0.80228114,530311.820721063
V024280,enterprise,5211,87175555.14,ach,0,0.74461854,519100.27327842603
V016039,enterprise,4214,77264453.58,ach,0,0.83765256,517566.14120891155
V012341,enterprise,7372,72912142.28,ach,1,0.87544304,510443.42069677025
V014284,enterprise,5172,89447375.84,ach,1,0.71039534,508143.9890215412
