mcc,avg_ticket,max_ticket,monthly_txn_count,annual_spend,tenure_months,is_new_to_platform,current_payment_method,card_acceptance_history,past_data_quality_score,days_sales_outstanding,strategic_vendor,risk_level,metadata_strategy
5085,913.78,1808.24,20,219307.2,12,False,card,accepted,0.44,29,False,low,send_minimal
7392,9179.54,72724.44,4,440617.92,26,False,check,rejected,0.769,73,False,low,send_minimal
5734,599.65,1913.88,7,50370.6,128,False,card,rejected,0.823,48,False,low,send_minimal
5172,883.12,6953.09,16,169559.04,80,False,ach,accepted,0.708,39,True,low,send_minimal
5172,23741.86,134528.06,26,7407460.32,4,True,check,never_offered,0.225,55,False,low,send_minimal
7399,858.85,1908.12,16,164899.2,85,False,card,accepted,0.493,60,False,medium,send_minimal
5085,1712.18,5004.22,7,143823.12,4,True,check,never_offered,0.71,31,False,low,send_minimal
7372,266.94,1754.51,5,16016.4,132,False,check,rejected,0.366,64,False,medium,send_partial
5122,1460.19,10819.55,4,70089.12,3,True,check,never_offered,0.666,45,False,low,send_full
5085,2654.14,12643.08,11,350346.48,5,True,ach,accepted,0.409,53,False,low,send_minimal
5199,413.5,760.89,34,168708.0,58,False,card,rejected,0.548,64,False,medium,send_minimal
8911,33535.52,107916.52,2,804852.48,164,False,ach,accepted,0.381,45,False,low,send_minimal
7392,1355.87,4682.02,8,26547914.40930195,2,True,check,rejected,,71,False,low,send_partial
7392,90007.72,156141.07,6,6480555.84,0,True,ach,accepted,,47,False,low,send_minimal
7372,28263.64,80880.81,27,9157419.36,105,False,card,accepted,0.655,48,True,low,send_minimal
7392,404.58,1261.88,4,19419.84,4,True,card,rejected,0.654,55,False,low,send_partial
5199,1175.8,4973.87,9,126986.4,4,True,card,never_offered,0.678,35,False,low,send_minimal
5085,1874.49,13676.68,15,337408.2,165,False,check,rejected,0.395,63,False,low,send_minimal
7399,1694.17,8442.28,4,81320.16,3,True,card,never_offered,0.254,45,False,low,send_partial
5172,10847.9,30598.78,17,294959390.9983902,43,False,ach,accepted,0.674,28,False,low,send_minimal
5199,776.64,5512.66,2,18639.36,34,False,ach,accepted,0.399,56,False,high,send_partial
5169,4328.58,13524.29,12,623315.52,2,True,check,rejected,0.797,45,False,medium,send_minimal
5111,632.97,1088.44,6,45573.84,5,True,ach,rejected,0.764,64,False,medium,send_full
4214,11520.98,41526.18,7,967762.32,3,True,check,never_offered,0.543,25,False,medium,send_minimal
7392,395.74,917.69,8,37991.04,179,False,check,rejected,0.707,45,False,low,send_partial
5734,137.99,626.11,9,14902.92,86,False,ach,accepted,0.828,46,False,low,send_minimal
5172,4495.0,20625.07,4,215760.0,0,True,check,never_offered,0.607,45,False,medium,send_partial
7399,590.85,1982.55,1,7090.2,34,False,card,rejected,0.942,38,False,low,send_partial
5211,5340.15,36359.83,15,961227.0,0,True,ach,rejected,0.647,43,False,low,send_partial
5172,439.73,1623.02,7,1474085.4674021937,108,False,ach,rejected,0.629,53,False,low,send_minimal
5172,1026.31,1585.22,11,135472.92,1,True,ach,never_offered,0.814,47,False,high,send_minimal
5122,818.66,3758.89,19,186654.48,3,True,card,rejected,0.0,74,False,high,send_partial
5085,1423.09,11008.44,10,170770.8,78,False,card,rejected,0.45,28,False,high,send_minimal
5211,826.77,5187.53,36,357164.64,30,False,check,accepted,0.716,27,False,low,send_minimal
4214,795.43,6135.72,17,162267.72,3,True,card,never_offered,0.281,46,False,low,send_partial
5065,108.71,193.33,6,7827.12,5,True,check,accepted,0.83,57,False,low,send_partial
7399,185.77,719.7,9,20063.16,165,False,check,rejected,0.568,50,False,low,send_partial
7399,1620.62,2879.61,34,661212.96,171,False,card,accepted,0.583,42,True,high,send_minimal
5137,349.25,1151.85,15,62865.0,100,False,ach,accepted,0.764,28,False,low,send_minimal
5734,414.72,1624.74,3,14929.92,20,False,ach,accepted,0.64,52,False,medium,send_partial
5111,171.62,1142.37,7,14416.08,4,True,card,rejected,,35,False,low,send_minimal
7392,8472.11,52731.51,15,1524979.8,125,False,check,accepted,0.619,58,False,low,send_minimal
7372,434.91,1125.43,17,16480125.501641223,5,True,check,never_offered,0.748,30,False,low,send_minimal
5169,3168.73,12759.77,9,342222.84,1,True,ach,never_offered,0.809,26,False,low,send_minimal
5085,468.99,2459.08,9,50650.92,160,False,ach,accepted,0.66,53,False,low,send_minimal
